Agency,Mode,Year,UPT,VRM,city,state,Service Area SQ Miles,Avg Cost Per Trip FY,Avg Fares Per Trip FY,tci,jobs,trips/week,routes,%transit,population
King County,LR,2002,357935,39630,Seattle,WA,2134.0,4.37943651102925,0.553756433168949,4.9,403896,4783,19,0.214,734731
Tri-County Metropolitan Transportation District of Oregon,LR,2002,25665600,3198863,Portland,OR,376.0,9.62637821026598,0.898112266032977,2.6,218492,3517,10,0.109,641885
City of Seattle,MG,2002,2048787,220116,Seattle,WA,83.0,2.96388766717393,2.91086227158419,4.9,403896,4783,19,0.214,734731
Central Puget Sound Regional Transit Authority,CR,2002,672495,286613,Seattle,WA,1089.0,43.350336123972,2.85082451896653,4.9,403896,4783,19,0.214,734731
Massachusetts Bay Transportation Authority,CR,2002,40569600,22747143,Boston,MA,3244.0,5.86136718212808,3.16934806354045,7.1,732061,5983,14,0.306,665942
Massachusetts Bay Transportation Authority,HR,2002,125435900,19574090,Boston,MA,3244.0,4.49772143324364,1.53271912187322,7.1,732061,5983,14,0.306,665942
Massachusetts Bay Transportation Authority,LR,2002,66202700,5677373,Boston,MA,3244.0,5.32054511351991,1.28864486067863,7.1,732061,5983,14,0.306,665942
Connecticut Department of Transportation,CR,2002,340626,647667,Newington,CT,171.0,134.766863514102,6.3168943184721,1.1,0,2451,6,0.013,30458
Niagara Frontier Transportation Authority,LR,2002,5704302,776915,Buffalo,NY,336.0,12.0426570940541,1.30169305631832,2.2,132530,1661,8,0.092,276688
Port Authority Transit Corporation,HR,2002,9288445,4131315,Camden,NJ,16.0,10.8383393711976,2.36238135738868,2.6,375747,2469,1,0.122,71799
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",CR,2002,71549737,50815820,New York,NY,527.0,24.2004341812688,8.41318942191887,8.7,1296548,13960,19,0.544,8621501
New Jersey Transit Corporation,CR,2002,62999979,46500578,Newark,NJ,5325.0,24.4614111990785,7.062002533205,4.8,282108,5486,2,0.212,307355
New Jersey Transit Corporation,CR,2002,1640780,1362690,Newark,NJ,5325.0,6.92825711886404,0.0,4.8,282108,5486,2,0.212,307355
New Jersey Transit Corporation,LR,2002,4711650,504186,Newark,NJ,5325.0,7.28412821419705,0.991414510289936,4.8,282108,5486,2,0.212,307355
New Jersey Transit Corporation,LR,2002,3091960,705110,Newark,NJ,5325.0,8.43414812540122,0.53706361200171,4.8,282108,5486,2,0.212,307355
Port Authority Trans-Hudson Corporation,HR,2002,51921700,11384114,New York,NY,226.0,10.0211749072654,2.43312567162522,8.7,1296548,13960,19,0.544,8621501
Staten Island Rapid Transit Operating Authority,HR,2002,6340765,2147971,New York,NY,59.0,13.5547055701508,0.65299535151799,8.7,1296548,13960,19,0.544,8621501
MTA Long Island Rail Road,CR,2002,92831324,28989700,New York,NY,2967.0,25.4690847358046,6.7864969133796,8.7,1296548,13960,19,0.544,8621501
Cambria County Transit Authority,IP,2002,85211,1890,Johnstown,PA,688.0,30.9261625315703,0.0,3.0,13224,1171,8,0.057,18422
Southeastern Pennsylvania Transportation Authority,CR,2002,28426507,15645080,Philadelphia,PA,844.0,16.5626148935428,3.87438447317185,4.6,367544,5229,12,0.23,1593208
Southeastern Pennsylvania Transportation Authority,HR,2002,85787915,15855789,Philadelphia,PA,844.0,4.14658442381391,0.879975871572353,4.6,367544,5229,12,0.23,1593208
Southeastern Pennsylvania Transportation Authority,LR,2002,17561198,3021838,Philadelphia,PA,844.0,2.13287140384607,0.875877392755033,4.6,367544,5229,12,0.23,1593208
Pittsburgh Regional Transit,IP,2002,853607,0,Pittsburgh,PA,775.0,8.32243848918901,1.14990513484188,3.9,260426,4552,18,0.162,303843
Pittsburgh Regional Transit,IP,2002,313199,0,Pittsburgh,PA,775.0,0.268088367573201,1.86119018957914,3.9,260426,4552,18,0.162,303843
Pittsburgh Regional Transit,LR,2002,7526179,1297869,Pittsburgh,PA,775.0,24.1981513120049,0.924069629146431,3.9,260426,4552,18,0.162,303843
Washington Metropolitan Area Transit Authority,HR,2002,244548262,43821876,Washington,DC,1108.0,11.7044756343657,1.82543095920609,5.3,545507,7528,20,0.329,670587
Maryland Transit Administration,CR,2002,5839755,4455615,Baltimore,MD,2560.0,46.8836941196747,6.31799225132868,3.5,255135,3787,12,0.148,584548
Maryland Transit Administration,HR,2002,13031969,4585990,Baltimore,MD,2560.0,41.2149052300701,0.714463055814179,3.5,255135,3787,12,0.148,584548
Maryland Transit Administration,LR,2002,7823448,2782139,Baltimore,MD,2560.0,11.3566060069565,0.714542460583807,3.5,255135,3787,12,0.148,584548
Virginia Railway Express,CR,2002,3084673,1765219,Woodbridge,VA,730.0,62.3666755328218,9.50731594202898,0.7,19953,518,5,0.031,42663
Chattanooga Area Regional Transportation Authority,IP,2002,430748,15729,Chattanooga,TN,289.0,5.01634335401539,6.50138316425865,0.5,29469,462,3,0.016,184149
City of Memphis,LR,2002,964900,299884,Memphis,TN,254.0,3.58503456731968,0.664690071767021,0.5,45900,501,3,0.01,627640
Metropolitan Atlanta Rapid Transit Authority,HR,2002,77881799,23335207,Atlanta,GA,605.0,8.25454242718684,1.43513316791868,1.9,257838,2523,10,0.096,494513
County of Miami-Dade,HR,2002,13977972,7437003,Miami,FL,306.0,10.1509192003321,1.07467174109841,2.7,293807,4935,11,0.084,441830
County of Miami-Dade,MG,2002,5171759,1061485,Miami,FL,306.0,5.83092289121068,0.0,2.7,293807,4935,11,0.084,441830
Jacksonville Transportation Authority,MG,2002,96929,256730,Jacksonville,FL,1807.0,27.434022039947,0.0,0.4,38618,684,3,0.015,952608
Hillsborough Area Regional Transit Authority,LR,2002,75048,15661,Tampa,FL,418.0,5.06449331519108,1.13214625098863,0.7,146486,991,4,0.019,383344
South Florida Regional Transportation Authority,CR,2002,2629265,614255,Pompano Beach,FL,32.0,32.8519704906211,3.31489171141496,0.6,132676,973,3,0.02,110991
City of Kenosha,LR,2002,48181,24638,Kenosha,WI,27.0,5.35349089819462,0.5,1.3,23740,599,7,0.013,94295
The Greater Cleveland Regional Transit Authority,HR,2002,4950685,1704831,Cleveland,OH,458.0,11.4397876130865,1.1651248638527,1.4,153684,2368,6,0.083,370278
The Greater Cleveland Regional Transit Authority,LR,2002,3105246,852064,Cleveland,OH,458.0,19.6120843420987,1.57179665706609,1.4,153684,2368,6,0.083,370278
