rank,name,score,tci,jobs,trips/week,routes,transit shed (mi2),%transit,population
1,"New York, NY",9.6,8.7,1296548,13960,19,44,0.544,8621501
2,"Hoboken, NJ",9.5,5.9,1937781,5232,7,37,0.574,58754
3,"San Francisco, CA",9.3,7.4,596446,9616,20,35,0.312,851036
4,"Union City, NJ",9.3,8.9,1823617,6177,1,54,0.379,67258
5,"Emeryville, CA",9.3,3.6,557388,4809,13,37,0.237,12840
6,"West New York, NJ",9.2,6.7,1554409,5730,2,41,0.435,52438
7,"Jersey City, NJ",9.2,5.6,828599,5272,3,26,0.478,287899
8,"Somerville, MA",9.2,5.1,748422,4314,12,63,0.299,80464
9,"Chicago, IL",9.2,3.9,545242,6082,11,52,0.251,2723878
10,"Florence-Graham, CA",9.2,2.7,372804,4054,12,71,0.079,63132
11,"Washington, DC",9.1,5.3,545507,7528,20,47,0.329,670587
12,"Cambridge, MA",9.1,5.3,765623,5089,15,70,0.285,117962
13,"Boston, MA",9.1,7.1,732061,5983,14,68,0.306,665942
14,"Huntington, VA",9.1,2.8,164617,4901,13,38,0.244,13737
15,"Brownsville, FL",9.1,1.9,336865,3611,8,66,0.077,17028
16,"Philadelphia, PA",9.1,4.6,367544,5229,12,54,0.23,1593208
17,"Hackensack, NJ",9.0,3.4,321664,3407,1,68,0.165,45758
18,"Waipahu, HI",9.0,3.2,124654,2882,8,36,0.13,40028
19,"East Orange, NJ",9.0,3.0,255146,3159,1,50,0.224,68879
20,"Chelsea, MA",9.0,2.4,527078,4325,6,35,0.252,39890
21,"Mount Vernon, NY",8.9,3.2,323901,2252,10,39,0.316,72817
22,"West Athens, CA",8.9,1.7,304149,5336,8,72,0.055,10102
23,"Bayonne, NJ",8.9,1.9,135096,2603,2,13,0.224,70497
24,"Forest Park, IL",8.9,2.0,260128,3743,9,53,0.148,13520
25,"Lansdowne, PA",8.9,1.8,380192,1999,7,61,0.226,11051
26,"Hyattsville, MD",8.9,4.0,331999,4739,18,61,0.238,23038
27,"Tysons, VA",8.9,2.6,375749,3564,12,48,0.078,25209
28,"Silver Spring, MD",8.9,7.4,408966,9494,29,72,0.228,81569
29,"North Bethesda, MD",8.9,2.2,352509,4518,11,67,0.192,50292
30,"East Los Angeles, CA",8.9,4.3,427477,4391,17,52,0.078,116889
31,"Edgewater, NJ",8.8,2.3,969590,3967,4,41,0.442,14394
32,"Newark, NJ",8.8,4.8,282108,5486,2,50,0.212,307355
33,"Oak Park, IL",8.8,2.0,357995,3245,7,54,0.243,53834
34,"Inwood, NY",8.8,1.3,68306,1945,6,18,0.198,11156
35,"Yeadon, PA",8.8,2.1,365208,2828,7,54,0.124,12052
36,"River Edge, NJ",8.8,1.1,203922,1541,2,52,0.141,12022
37,"New Hyde Park, NY",8.8,1.4,344895,1507,6,47,0.179,10058
38,"Rutherford, NJ",8.7,1.6,624822,1654,1,51,0.21,18754
39,"Mineola, NY",8.7,2.3,205543,2360,8,43,0.169,20893
40,"Lynbrook, NY",8.7,1.8,186429,2094,8,42,0.216,20216
41,"Roselle Park, NJ",8.7,1.5,189444,1617,1,49,0.067,13964
42,"Hasbrouck Heights, NJ",8.7,1.7,302523,2001,1,58,0.127,12080
43,"Hillcrest Heights, MD",8.6,2.7,195204,4514,16,41,0.212,16238
44,"Harrison, NJ",8.6,4.5,544031,7260,8,56,0.368,19217
45,"Lennox, CA",8.6,1.9,227930,1971,9,55,0.056,17619
46,"Decatur, GA",8.6,1.5,267369,3180,10,64,0.086,24845
47,"Berkeley, CA",8.6,3.7,295373,4156,16,35,0.245,121385
48,"Brookline, MA",8.6,4.9,775581,4695,8,58,0.292,62698
49,"Opa-locka, FL",8.6,1.5,119301,2225,7,57,0.077,13991
50,"Patchogue, NY",8.6,1.4,48679,2237,9,30,0.059,12355
51,"West Hempstead, NY",8.6,1.2,143705,1963,5,35,0.126,20393
52,"Blue Island, IL",8.6,1.4,154825,1437,6,55,0.109,21230
53,"Merrifield, VA",8.6,2.5,291881,2917,9,43,0.163,19065
54,"River Grove, IL",8.6,1.1,244594,1360,5,57,0.079,10036
55,"Takoma Park, MD",8.6,3.4,260744,5521,16,53,0.199,17784
56,"Passaic, NJ",8.6,3.1,237474,2360,0,53,0.127,70048
57,"Waimalu, HI",8.6,2.5,132262,2136,11,29,0.037,13002
58,"River Forest, IL",8.5,1.4,216737,2136,7,47,0.22,11568
59,"East Rutherford, NJ",8.5,1.9,1067887,3800,1,68,0.168,10020
60,"Landover, MD",8.5,2.1,127285,2986,10,44,0.122,22511
61,"Ardmore, PA",8.5,1.7,264108,1259,5,41,0.116,14132
62,"Guttenberg, NJ",8.5,5.5,1229699,5576,0,38,0.347,11765
63,"Darby, PA",8.5,3.0,330398,2509,7,50,0.275,10682
64,"Wallington, NJ",8.5,2.0,336293,1975,1,54,0.067,11838
65,"Secaucus, NJ",8.5,2.2,1857804,3007,3,59,0.276,21470
66,"Arlington, VA",8.5,4.4,511261,5183,17,42,0.254,235845
67,"Miami, FL",8.5,2.7,293807,4935,11,42,0.084,441830
68,"Gladeview, FL",8.5,2.0,281313,3674,10,66,0.088,14455
69,"Wheaton, MD",8.5,3.0,262733,4225,15,68,0.158,53780
70,"Rockville, MD",8.5,2.6,283518,4156,15,71,0.168,65258
71,"Evanston, IL",8.5,2.4,174982,2176,8,42,0.198,77181
72,"Drexel Hill, PA",8.5,1.3,154050,1332,4,47,0.1,29003
73,"Ashland, CA",8.5,1.9,162136,2355,9,39,0.047,22808
74,"Shaker Heights, OH",8.4,1.0,165066,1732,4,48,0.057,29157
75,"Tarrytown, NY",8.4,1.7,110682,1876,7,35,0.168,11776
76,"Summerfield, MD",8.4,2.3,127289,3231,15,43,0.139,16170
77,"West Hollywood, CA",8.4,3.0,679934,5263,8,51,0.058,35358
78,"Valley Stream, NY",8.4,1.5,188955,1619,6,34,0.239,40288
79,"New Carrollton, MD",8.4,3.2,109445,3732,16,48,0.125,12889
80,"Alexandria, VA",8.4,3.1,274790,4412,12,33,0.172,157594
81,"Elmwood Park, IL",8.4,1.1,160500,1990,5,43,0.09,24281
82,"Yonkers, NY",8.4,2.9,238803,2798,10,33,0.259,209780
83,"Clayton, MO",8.4,1.4,174926,1135,5,38,0.03,15682
84,"Hartford, CT",8.4,7.7,0,7464,22,54,0.131,121057
85,"Chillum, MD",8.4,2.1,261704,3722,13,52,0.195,33566
86,"College Park, MD",8.3,3.2,196665,4315,19,55,0.109,30790
87,"South Pasadena, CA",8.3,1.0,297118,1817,5,46,0.062,26583
88,"Falls Church, VA",8.3,1.3,341465,2521,7,40,0.144,14576
89,"Cliffside Park, NJ",8.3,3.6,443469,2582,0,33,0.252,25546
90,"Glenmont, MD",8.3,2.7,232818,4533,13,71,0.223,16097
91,"Summit, IL",8.3,1.7,116339,2286,5,39,0.061,11247
92,"Albany, CA",8.3,2.1,227815,2897,12,32,0.235,20027
93,"East Cleveland, OH",8.3,1.4,182701,3358,8,47,0.174,13926
94,"Santa Monica, CA",8.3,2.6,410356,3636,10,36,0.032,92178
95,"Seattle, WA",8.3,4.9,403896,4783,19,38,0.214,734731
96,"Baltimore, MD",8.3,3.5,255135,3787,12,53,0.148,584548
97,"Inglewood, CA",8.3,1.7,240010,2934,7,58,0.066,109416
98,"Westmont, CA",8.3,1.6,213834,3792,8,60,0.078,35345
99,"Upper Montclair, NJ",8.2,1.5,152617,882,2,40,0.333,12435
100,"Willowbrook, CA",8.2,3.6,220557,3375,17,61,0.037,22502
101,"Medford, MA",8.2,2.6,534679,2056,8,48,0.186,61748
102,"Cicero, IL",8.2,1.7,245877,2210,7,43,0.074,84189
103,"Malden, MA",8.2,3.5,465400,2797,11,50,0.252,65463
104,"Westmont, NJ",8.2,0.7,303934,927,2,50,0.101,14138
105,"Daly City, CA",8.2,2.9,236314,3912,14,31,0.166,99060
106,"New Haven, CT",8.2,5.7,0,4559,10,38,0.086,135736
107,"Everett, MA",8.2,2.2,374923,2677,7,36,0.209,48685
108,"Langley Park, MD",8.2,3.9,146678,5378,15,56,0.148,22014
109,"Garfield, NJ",8.2,1.8,196888,1094,1,47,0.077,32472
110,"Glen Rock, NJ",8.2,1.4,180200,1116,1,47,0.243,12086
111,"SeaTac, WA",8.2,1.0,123950,2638,6,38,0.091,31546
112,"Bound Brook, NJ",8.2,1.6,53378,664,6,24,0.058,11906
113,"Coral Hills, MD",8.2,2.2,105830,3277,11,44,0.177,10754
114,"Walnut Park, CA",8.1,2.9,288717,3407,10,56,0.069,16209
115,"Hempstead, NY",8.1,4.2,166084,2962,13,40,0.195,58557
116,"Minneapolis, MN",8.1,2.9,329428,4192,12,50,0.11,426877
117,"San Fernando, CA",8.1,1.9,185153,2722,8,46,0.028,23947
118,"Winnetka, IL",8.1,0.8,135703,794,3,33,0.294,12707
119,"South San Francisco, CA",8.1,2.2,179916,2343,12,28,0.117,62681
120,"Coatesville, PA",8.1,1.0,21761,443,2,12,0.029,13316
121,"Miami Beach, FL",8.1,2.3,158933,3688,7,19,0.079,81266
122,"Belmont, MA",8.1,1.0,474733,1420,5,40,0.163,26997
123,"Berkley, CO",8.1,0.5,166092,1408,4,37,0.009,11263
124,"View Park-Windsor Hills, CA",8.1,1.2,300793,2816,6,55,0.024,11999
125,"Pittsburgh, PA",8.1,3.9,260426,4552,18,56,0.162,303843
126,"Fort Lee, NJ",8.1,3.5,426372,3108,2,49,0.261,39799
127,"Portland, OR",8.1,2.6,218492,3517,10,44,0.109,641885
128,"La Riviera, CA",8.1,0.6,132076,932,4,24,0.033,11656
129,"Albany, NY",8.0,5.0,136102,6896,17,34,0.131,99692
130,"Schiller Park, IL",8.0,0.7,93724,653,4,28,0.033,11470
131,"Walker Mill, MD",8.0,2.0,122634,4508,13,44,0.214,10311
132,"Lemon Grove, CA",8.0,0.8,66028,1318,5,28,0.026,27830
133,"South Miami, FL",8.0,1.2,233204,2056,6,44,0.108,11052
134,"Westview, FL",8.0,1.7,156466,3376,8,66,0.066,13618
135,"Compton, CA",8.0,1.6,184721,2245,11,55,0.039,96835
136,"Huntington Park, CA",8.0,2.2,307206,3221,9,56,0.073,54544
137,"Lynwood, CA",8.0,1.6,174513,1956,7,52,0.047,66066
138,"South Salt Lake, UT",8.0,0.9,226646,2567,5,49,0.027,27016
139,"Revere, MA",8.0,2.6,406683,2798,8,37,0.237,60577
140,"Pasadena, CA",8.0,2.3,218357,2677,10,41,0.051,138923
141,"Chester, PA",8.0,1.5,79836,1559,5,37,0.11,33048
142,"National City, CA",8.0,1.6,79158,2526,7,32,0.046,56548
143,"Halawa, HI",8.0,1.8,167514,2445,8,30,0.05,12743
144,"Winchester, NV",8.0,1.4,254016,4148,4,52,0.07,36695
145,"Glassmanor, MD",8.0,3.2,88954,4326,15,37,0.187,17461
146,"Shoreline, WA",8.0,1.9,168995,2633,8,41,0.12,57953
147,"Plainfield, NJ",8.0,1.7,62589,1117,1,29,0.051,54358
148,"Oakland, CA",7.9,3.4,349171,4379,15,41,0.208,437832
149,"Norristown, PA",7.9,1.3,67966,1012,6,25,0.077,35712
150,"Berwyn, IL",7.9,1.3,148160,1331,5,39,0.092,56556
151,"Riverdale, IL",7.9,0.6,133366,1129,4,50,0.135,10756
152,"Gardena, CA",7.9,1.3,236133,3174,7,57,0.025,60377
153,"Shorewood, WI",7.9,1.6,136959,2728,7,32,0.048,13707
154,"Asbury Park, NJ",7.9,1.7,30191,493,1,16,0.066,15245
155,"Culver City, CA",7.9,2.5,584920,3035,10,53,0.034,40315
156,"Park Ridge, IL",7.9,1.4,170344,1294,6,51,0.129,39302
157,"Chevy Chase, MD",7.9,1.7,411423,3325,12,67,0.117,12558
158,"McNair, VA",7.9,2.0,150340,2784,10,29,0.081,22494
159,"Moline, IL",7.9,2.3,40446,6182,10,36,0.014,41923
160,"Summit, NJ",7.9,0.7,107927,1036,1,27,0.227,22555
161,"Westwood, NJ",7.9,0.8,73859,636,2,20,0.059,11241
162,"Lansdale, PA",7.9,0.9,36952,713,3,17,0.027,18727
163,"Fairview, NJ",7.9,3.6,239774,4154,0,35,0.134,18559
164,"Rock Island, IL",7.9,2.2,33865,4789,9,27,0.022,35408
165,"Beverly Hills, CA",7.9,1.7,631663,4405,8,47,0.031,32406
166,"Atlantic City, NJ",7.9,2.3,42542,2156,0,19,0.215,38487
167,"Quincy, MA",7.9,2.1,420754,2202,7,49,0.23,100939
168,"Camden, NJ",7.9,2.6,375747,2469,1,54,0.122,71799
169,"Port Chester, NY",7.9,1.6,65126,858,4,21,0.138,31362
170,"Dunn Loring, VA",7.8,0.7,315093,2627,7,41,0.086,10141
171,"Long Beach, CA",7.8,2.7,166563,2754,11,47,0.049,462335
172,"Metuchen, NJ",7.8,0.7,114123,828,1,28,0.242,14958
173,"Salt Lake City, UT",7.8,1.6,195858,2682,8,36,0.065,204659
174,"Mountain View, CA",7.8,2.5,202132,2020,10,37,0.07,84374
175,"Bailey's Crossroads, VA",7.8,2.4,215305,3719,9,35,0.122,25435
176,"Urbana, IL",7.8,7.6,52253,6664,14,23,0.094,35866
177,"Commerce, CA",7.8,2.1,439517,2960,14,74,0.047,12776
178,"West Rancho Dominguez, CA",7.8,1.6,226401,2259,11,58,0.055,21765
179,"Franklin Park, IL",7.8,0.7,156439,638,4,41,0.041,20952
180,"Burlingame, CA",7.8,1.8,161352,1538,6,25,0.125,30619
181,"Paterson, NJ",7.8,2.4,166049,2087,0,48,0.088,157864
182,"Urban Honolulu, HI",7.8,5.5,215648,4720,18,29,0.093,348563
183,"Elizabeth, NJ",7.8,2.0,265999,1696,2,41,0.11,135665
184,"Gaithersburg, MD",7.8,1.3,176584,1785,7,54,0.099,68320
185,"West Little River, FL",7.8,1.5,190272,2277,6,58,0.054,33521
186,"Signal Hill, CA",7.8,2.2,187250,2259,12,54,0.031,11678
187,"Champaign, IL",7.8,8.5,55655,5658,17,28,0.059,78324
188,"Winthrop Town, MA",7.7,0.9,117964,783,3,6,0.193,19034
189,"Skokie, IL",7.7,1.3,167501,1657,6,49,0.061,66647
190,"Trenton, NJ",7.7,3.1,119782,1778,2,40,0.077,90055
191,"Haddonfield, NJ",7.7,0.8,461066,1475,2,73,0.115,12456
192,"Melrose Park, IL",7.7,1.0,145511,1069,4,42,0.023,24923
193,"Kapolei, HI",7.7,2.4,40067,2999,9,28,0.027,23226
194,"Perth Amboy, NJ",7.7,1.6,57256,1116,1,19,0.048,55226
195,"Los Angeles, CA",7.7,2.3,424333,4140,10,52,0.085,3880512
196,"Lawndale, CA",7.7,1.7,218225,2569,8,44,0.022,31553
197,"White Plains, NY",7.7,5.0,134330,3133,23,49,0.166,59421
198,"Watertown Town, MA",7.7,1.1,469398,2030,5,37,0.111,35181
199,"Mountlake Terrace, WA",7.7,1.7,232812,2867,10,49,0.103,20924
200,"Dobbs Ferry, NY",7.7,1.6,118694,1233,6,36,0.242,11431
201,"Redland, MD",7.7,1.9,216637,3999,13,66,0.099,18588
202,"Willow Grove, PA",7.7,1.3,90162,1015,6,30,0.032,13031
203,"North New Hyde Park, NY",7.7,1.1,183959,2656,6,33,0.163,14799
204,"Clifton, NJ",7.7,1.6,232402,1658,0,51,0.1,89451
205,"Tempe, AZ",7.7,1.3,255416,2653,6,53,0.041,179733
206,"Bellwood, IL",7.7,1.1,170754,966,4,46,0.088,18706
207,"Wilmington, DE",7.7,3.6,120432,2677,14,47,0.095,71034
208,"White Oak, MD",7.7,2.1,92422,3848,11,49,0.129,15050
209,"Suitland, MD",7.7,1.2,102982,3368,10,39,0.225,25839
210,"Fair Lawn, NJ",7.7,1.4,226845,1022,1,58,0.156,34948
211,"Stamford, CT",7.7,4.9,10933,3410,11,23,0.115,135413
212,"Maywood, IL",7.7,1.2,147984,1228,5,41,0.067,23219
213,"Eastchester, NY",7.6,1.2,152569,882,5,36,0.224,20633
214,"El Cerrito, CA",7.6,2.8,181760,2463,13,31,0.19,31128
215,"Campbell, CA",7.6,1.1,165520,2086,5,38,0.022,43951
216,"Cleveland, OH",7.6,1.4,153684,2368,6,40,0.083,370278
217,"Milwaukee, WI",7.6,1.9,181382,2773,7,51,0.062,573459
218,"Alameda, CA",7.6,2.1,281150,1839,8,25,0.174,77565
219,"Arlington, MA",7.6,1.6,396704,1986,7,41,0.189,45906
220,"Bell, CA",7.6,1.2,195764,2015,6,49,0.054,32876
221,"Somerville, NJ",7.6,1.4,40418,626,6,18,0.027,12467
222,"East St. Louis, IL",7.6,1.1,65712,1984,6,29,0.055,18105
223,"State College, PA",7.6,2.4,19513,3380,9,12,0.108,40902
224,"Watervliet, NY",7.6,2.1,100482,4700,7,32,0.059,10306
225,"South Gate, CA",7.6,1.2,193415,2617,7,54,0.043,91915
226,"Palisades Park, NJ",7.6,1.6,223088,1953,1,37,0.206,20231
227,"Greenwich, CT",7.6,1.6,35585,951,4,19,0.165,12119
228,"Maywood, NJ",7.6,2.3,303111,2329,0,65,0.103,10040
229,"Wilkinsburg, PA",7.6,5.5,292675,3947,18,89,0.242,14340
230,"Melrose, MA",7.5,1.6,423323,984,4,43,0.229,29477
231,"San Mateo, CA",7.5,2.1,148909,1541,10,27,0.095,103679
232,"Garden City, NY",7.5,1.2,233983,1973,8,45,0.186,22918
233,"West Carson, CA",7.5,1.3,202792,2956,8,52,0.021,22240
234,"Morristown, NJ",7.5,1.3,69351,683,1,20,0.027,20126
235,"Sunny Isles Beach, FL",7.5,2.0,74503,1780,5,27,0.034,20642
236,"Harvey, IL",7.5,1.2,57586,1733,6,48,0.105,18090
237,"Maywood, CA",7.5,1.4,190251,1613,6,46,0.053,24859
238,"Mamaroneck, NY",7.5,1.2,93892,914,4,27,0.206,19930
239,"Milwaukie, OR",7.5,1.3,115224,2085,7,37,0.051,22456
240,"Rahway, NJ",7.5,1.0,139755,811,1,34,0.114,29664
241,"St. Paul, MN",7.5,1.4,214873,2269,6,38,0.088,308806
242,"Wyandanch, NY",7.5,0.6,106237,1242,4,37,0.191,14115
243,"Tukwila, WA",7.5,0.9,223040,2103,6,39,0.117,23644
244,"Bethesda, MD",7.5,2.0,363054,2442,8,47,0.174,66374
245,"Morton Grove, IL",7.5,0.8,206767,1469,6,61,0.057,25350
246,"Midvale, UT",7.5,0.8,143140,1427,5,38,0.034,34813
247,"Atlanta, GA",7.5,1.9,257838,2523,10,38,0.096,494513
248,"Imperial Beach, CA",7.5,1.2,25609,1756,4,15,0.052,26158
249,"Providence, RI",7.5,2.4,187399,2456,11,44,0.047,189715
250,"Adelphi, MD",7.5,2.2,109128,2985,12,51,0.128,17110
251,"Hybla Valley, VA",7.5,1.7,46290,2507,8,22,0.109,18049
252,"Rochester, NY",7.4,2.5,123922,3334,6,30,0.067,211285
253,"Niles, IL",7.4,1.7,186452,2201,7,60,0.064,32050
254,"Herndon, VA",7.4,1.5,145256,2282,10,28,0.074,24073
255,"Ridgefield, NJ",7.4,1.7,273663,2129,0,40,0.099,11465
256,"Greenbelt, MD",7.4,2.2,80182,2305,12,32,0.129,23758
257,"Lynn, MA",7.4,2.5,190863,1134,7,34,0.081,100653
258,"North Miami, FL",7.4,1.9,113904,2265,8,39,0.079,60500
259,"Elmwood Park, NJ",7.4,1.3,199396,1604,0,49,0.078,21261
